id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2953058,Film Location,1177497,Jessica,Brooklyn,Clinton Hill,40.69137,-73.96723,Entire home/apt,8000,1,1,2016-09-15,0.03,11,365
34895693,Gem of east Flatbush,262534951,Sandra,Brooklyn,East Flatbush,40.65724,-73.9245,Private room,7500,1,8,2019-07-07,6.15,2,179
20654227,Fulton 2,100069033,Sarah-2,Brooklyn,Cypress Hills,40.68185,-73.88128,Entire home/apt,5000,2,4,2018-01-03,0.18,1,0
21238053,Broadway 1,153497815,Sarah-B,Brooklyn,Bedford-Stuyvesant,40.68742,-73.91957,Entire home/apt,5000,2,8,2017-12-09,0.38,1,0
2952861,Photography Location,1177497,Jessica,Brooklyn,Clinton Hill,40.69127,-73.96563,Entire home/apt,4500,1,5,2018-12-29,0.09,11,365
34592851,Beautiful Brooklyn Brownstone Production Space,19867664,Cheryl,Brooklyn,Crown Heights,40.67015,-73.94782,Entire home/apt,2500,1,1,2019-06-08,0.94,2,168
8736827,Rain or Shine Studios:  Dedicated to Production,45837698,Brian,Brooklyn,Sheepshead Bay,40.58599,-73.92762,Entire home/apt,2000,1,1,2015-10-27,0.02,1,365
31120563,Magnificent 5 Bedroom Brooklyn Townhouse,9786357,Ilsa,Brooklyn,Prospect Heights,40.68187,-73.97075,Entire home/apt,1750,2,5,2019-07-01,1.65,1,358
2261367,brooklyn 14 bedroom gated community,10416706,Tzvi,Brooklyn,Sea Gate,40.57645,-74.01065,Entire home/apt,1485,2,6,2019-06-30,0.24,1,260
1056256,Beautiful eco triplex w/green roof. Free yoga/spa.,462379,Loretta,Brooklyn,Carroll Gardens,40.67881,-73.99379,Entire home/apt,1395,1,55,2019-06-02,0.73,2,362
7915831,"Lovely, Room/with Private bathroom",5719436,Leonie,Brooklyn,Flatbush,40.63982,-73.96634,Private room,1100,1,1,2016-09-11,0.03,1,365
20070296,"Stunning Brooklyn Heights House, Manhattan 5 mins",5173627,Tara,Brooklyn,Brooklyn Heights,40.70136,-73.99372,Entire home/apt,1095,2,24,2019-03-24,1.01,1,240
18948914,MODERN GARDEN 1BR IN NEWLY RENOVATED TOWNHOUSE,70804640,Akiko,Brooklyn,Bedford-Stuyvesant,40.68378,-73.95592,Entire home/apt,1067,2,64,2019-06-29,2.51,1,32
13601777,Planta Baja Studio,68890,Paula,Brooklyn,Bedford-Stuyvesant,40.68786,-73.95688,Entire home/apt,1000,1,10,2018-06-14,0.28,3,365
16807028,Sunny Ditmas Park Carriage House (Events Listing),8111912,Jed,Brooklyn,Flatbush,40.64335,-73.96745,Entire home/apt,1000,1,1,2019-04-02,0.31,2,365
