id,name,host_id,neighbourhood_group,price,minimum_nights,number_of_reviews,last_review,availability_365
44096,Room with a View,190409,Bronx,40,1,219,2019-07-04,353
12345615,Natural light comfortable room!,52196858,Bronx,59,1,120,2019-07-02,336
12774885,"Spacious, cozy bedroom in a private home",69507287,Bronx,40,1,151,2019-07-01,338
11147993,A SUPERB One Bedroom Apartment,57954654,Bronx,85,2,147,2019-07-01,304
54626,Cozy bedroom by Yankee Stadium,190409,Bronx,45,1,138,2019-06-30,323
2008227,Private Studio in Private Home,9539641,Bronx,53,2,143,2019-06-30,263
18795447,Large Private Room in Heart of Diversity.,89071431,Bronx,55,2,112,2019-06-30,271
20772204,"NO XTRA FEES, 30 min To Grand Central:Pvt Entrance",82889379,Bronx,55,1,156,2019-06-30,318
7869876,"Entire floor of house Very Private 2BR suite,SUNNY",17382996,Bronx,90,2,152,2019-06-30,299
3400359,Awesome Deal NYC,16286162,Bronx,49,2,114,2019-06-29,240
9788114,Large Private Garden Apartment in Townhouse,785524,Bronx,87,1,132,2019-06-29,211
4031463,Comfortable Private space with a terrace,20900568,Bronx,50,1,108,2019-06-28,261
18914730,IDEALLY LOCATED COZY COTTAGE,1776707,Bronx,95,1,266,2019-06-28,345
13348000,"Home*Sweet*Home
Quiet neighborhood",69546772,Bronx,89,1,192,2019-06-26,303
1278784,Private room minutes from midtown!,6959061,Bronx,60,2,147,2019-06-24,213
773041,Nice beautiful room In the Bronx,3684360,Bronx,38,1,187,2019-06-23,241
755528,PRIVATE BATH/TONS OF SUNLIGHT/SAFE,3684360,Bronx,49,2,189,2019-06-23,238
22400368,Forest Houses City Getaway (No Hot Water),158568617,Bronx,60,1,104,2019-06-23,365
149777,Artsy 1 bedroom Apt. 20 min to 42nd Grand Central!,716306,Bronx,77,1,197,2019-06-23,309
18584742,Cozy room across the street from the high bridge,128692351,Bronx,80,2,100,2019-06-23,338
11138823,A beautiful Cozy 1 BR Apartment.,57885474,Bronx,90,2,199,2019-06-21,319
858695,Very Large Private Room on quiet st,4494343,Bronx,30,2,291,2019-06-20,208
245544,NY/ Big Room for 2 near Manhattan,1260921,Bronx,42,2,108,2019-06-19,302
13436258,One Bedroom Apartment  in TownHouse,5944946,Bronx,99,1,103,2019-06-18,264
14301951,A beautiful cozy room with balcony,87370616,Bronx,75,2,110,2019-06-17,350
18540170,Great room across the street from the High bridge,128692351,Bronx,100,2,107,2019-06-14,344
715270,2 Beds/Queen & Full Beautiful Room 40 minsT.Square,3684360,Bronx,39,2,169,2019-06-12,306
8772654,Friendly-colorful-cozy W/ breakfast,45990565,Bronx,33,2,103,2019-05-31,282
9260415,Comfy Room Near Bronx Zoo and NYBG!,48106825,Bronx,47,2,138,2019-05-20,353
9716234,Cozy with Great location !!!,43719073,Brooklyn,35,1,104,2019-07-08,352
25229464,Anita's Grey Master BedRoom,185524223,Brooklyn,62,1,107,2019-07-08,263
8308797,shared space with Great location!!,43719073,Brooklyn,45,1,135,2019-07-07,351
9140055,Room and Breakfast  -  Room 1,35322092,Brooklyn,49,1,136,2019-07-07,200
21769981,Private room w/ bathroom near Prospect Park,157262166,Brooklyn,59,2,102,2019-07-07,347
13101855,Garden level studio w/backyard,45197707,Brooklyn,90,2,125,2019-07-07,302
14987023,Cozy 3rd floor room at Brooklyn&Breakfast,344035,Brooklyn,40,1,168,2019-07-06,309
8210379,Comfy garden level room at Brooklyn&Breakfast,344035,Brooklyn,60,1,186,2019-07-06,293
8002080,Luxury  suite.(private),42243297,Brooklyn,65,1,287,2019-07-06,308
1042416,Sunny Brownstone  Attic,5738733,Brooklyn,70,2,210,2019-07-06,288
15853165,Private and Cozy Bedroom in Williamsburg,89759874,Brooklyn,72,1,154,2019-07-06,215
14359772,(1)Comfy Home Away From Home/Multiple rooms!!,88043058,Brooklyn,83,1,110,2019-07-06,307
6438456,"Private! entire studio, own entrance, private bath",33614329,Brooklyn,85,1,208,2019-07-06,197
11359148,Cozy Garden  Apartment,42389158,Brooklyn,85,2,168,2019-07-06,246
3533604,Private Room in a two bedroom apt.,9510645,Brooklyn,96,1,332,2019-07-06,355
6027345,Newly renovated historic brownstone,2881,Brooklyn,65,2,280,2019-07-05,249
10605445,Big Sunny 3rd fl Room at Brooklyn&Breakfast,344035,Brooklyn,70,1,238,2019-07-05,313
23584507,♥Private Master Bath | Express Train+Free Parking☆,34177401,Brooklyn,86,1,154,2019-07-05,311
3831,Cozy Entire Floor of Brownstone,4869,Brooklyn,89,1,270,2019-07-05,194
4553721,Art Large bedroom  Brownstone for 1 or 2 persons,2480939,Brooklyn,90,1,194,2019-07-05,229
16175456,Large luxury private room in Williamsburg!,1314045,Brooklyn,99,1,230,2019-07-05,353
10444139,Budget Room at Brooklyn&Breakfast,344035,Brooklyn,45,1,204,2019-07-04,324
4586880,Vintage Room  in  Brooklyn,23776693,Brooklyn,50,2,100,2019-07-04,260
11620118,Amazing view from a private roof!,55468128,Brooklyn,62,1,208,2019-07-04,260
9915643,Lovely Suite (private bath) near Botanical garden,33021531,Brooklyn,99,1,186,2019-07-04,232
21089520,Closest to Home,151139950,Brooklyn,100,2,115,2019-07-04,225
747538,"HUGE mid-century modern, sunny flat w/ amazing cat",2293050,Brooklyn,61,2,167,2019-07-03,320
6225974,Central Williamsburg Room,909577,Brooklyn,71,2,162,2019-07-03,332
15083823,Artists rustic 2 Room studio  in Red Hook,7018895,Brooklyn,85,2,132,2019-07-03,244
12022098,Charming Park Slope Apartment,8303104,Brooklyn,89,1,102,2019-07-03,269
25995062,Private room with balcony with ROOFTOP terrace,177314795,Brooklyn,90,1,100,2019-07-03,316
2019755,Front Studio in Loft Apartment - Steiner Studios,10383481,Brooklyn,100,2,100,2019-07-03,280
11219289,A big Sunny Room.,58453451,Brooklyn,33,1,147,2019-07-02,231
17557873,Renovated Comfortable Room for 2 or solo traveler,10475653,Brooklyn,45,1,108,2019-07-02,243
21594210,It's a Beautiful Day in Bed-Stuy!,19536596,Brooklyn,48,1,114,2019-07-02,235
4553528,Brownstone Williamsburg room with skylight Create,2480939,Brooklyn,58,1,210,2019-07-02,217
7837816,"Bright, Cozy room in Brooklyn",19483885,Brooklyn,60,1,184,2019-07-02,240
692567,Bushwick Creative Den of Bliss,3541525,Brooklyn,84,2,138,2019-07-02,225
7111050,Cozy Couch In Great Space Perfect For Backpackers,34546849,Brooklyn,29,2,102,2019-07-01,288
852632,Gowanis Urban Oasis,4451246,Brooklyn,44,2,155,2019-07-01,325
8291897,Cozy with Great location !!,43719073,Brooklyn,45,1,126,2019-07-01,342
21609205,It's Always Sunny in Bed-Stuy!,19536596,Brooklyn,48,1,106,2019-07-01,243
11146432,Cozy top floor room at Brooklyn&Breakfast,344035,Brooklyn,50,1,257,2019-07-01,286
6385039,Historic room in renovated brownstone,2881,Brooklyn,52,2,110,2019-07-01,220
3531018,It's The Brooklyn Way !!!,12291588,Brooklyn,59,1,142,2019-07-01,318
7979237,New Guest Room at Brooklyn&Breakfast,344035,Brooklyn,60,1,197,2019-07-01,324
9362344,Spacious Room in Trendy Brooklyn Area with Yard,820010,Brooklyn,60,1,145,2019-07-01,313
8522933,Charming Cottage in Huge Victorian,44018877,Brooklyn,77,2,136,2019-07-01,265
6195564,Beautiful Room near L train,14600914,Brooklyn,85,1,118,2019-07-01,327
6796530,Stay in our wonderful loft!,35574300,Brooklyn,98,1,238,2019-07-01,236
1733054,"Williamsburg Brooklyn, Parkside Penthouse NYC View",8072802,Brooklyn,99,1,340,2019-07-01,263
3081771,Luxurious Brooklyn Getaway!,15681707,Brooklyn,99,2,190,2019-07-01,287
9976264,Spacious/Beautiful Private Room,51262617,Brooklyn,100,2,101,2019-07-01,284
14234561,Newly renovated studio in hip Bushwick near subway,3605061,Brooklyn,100,2,152,2019-07-01,251
25796599,Common Single Room # 1,190981544,Brooklyn,40,1,125,2019-06-30,325
240800,Private Room Near Brooklyn Museum ,1263176,Brooklyn,55,1,147,2019-06-30,293
